date,date2,home,away,place,link
2018.10.19,금,원주 DB 프로미,안양 KGC 인삼공사,원주종합,http://www.ticketlink.co.kr/sports/basketball/69#reservation
2018.10.24,수,인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,인천삼산,https://etlticket.kbl.or.kr/#/event-list
2018.10.27,토,안양 KGC 인삼공사,서울 삼성 썬더스,안양실내, http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK001
2018.10.28,일,안양 KGC 인삼공사,울산 현대모비스 피버스,안양실내, http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK001
2018.10.30,화,서울 SK 나이츠,안양 KGC 인삼공사,잠실학생,http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK008
2018.11.01,목,창원 LG 세이커스,안양 KGC 인삼공사,창원실내,http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK003
2018.11.03,토,안양 KGC 인삼공사,전주 KCC 이지스,안양실내, http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK001
2018.11.06,화,서울 삼성 썬더스,안양 KGC 인삼공사,잠실실내,http://www.ticketlink.co.kr/sports/basketball/70#reservation
2018.11.08,목,안양 KGC 인삼공사,부산 KT 소닉붐,안양실내, http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK001
2018.11.10,토,서울 SK 나이츠,안양 KGC 인삼공사,잠실학생,http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK008
2018.11.13,화,안양 KGC 인삼공사,창원 LG 세이커스,안양실내, http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK001
2018.11.15,목,안양 KGC 인삼공사,원주 DB 프로미,안양실내, http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK001
2018.11.17,토,안양 KGC 인삼공사,고양 오리온 오리온스,안양실내, http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK001
2018.11.20,화,전주 KCC 이지스,안양 KGC 인삼공사,전주실내,http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK004
2018.11.22,목,안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,안양실내, http://ticket.interpark.com/Contents/Sports/GoodsInfo?SportsCode=07003&TeamCode=PK001
2018.11.24,토,울산 현대모비스 피버스,안양 KGC 인삼공사,울산동천,http://www.ticketlink.co.kr/sports/basketball/123#reservation
